source	target	weight
49208056	50140966	.39
49208056	49171623	.10
49208056	51383618	.21
49208056	50676654	.17
49208056	49682644	.12
49208056	50722133	.31
49208056	50462402	.11
49208056	49684857	.15
49208056	50605219	.25
49208056	49537782	.13
49208056	48440223	.10
49208056	50165010	.13
49208056	49148753	.09
49208056	48910876	.23
49208056	48280400	.14
49208056	48481003	.11
49208056	48147896	.33
48164039	49999570	.63
48164039	51081663	.66
48164039	48073057	.94
48164039	50275945	.88
48164039	49648270	.91
48164039	49013217	.64
48164039	50619327	.63
48164039	48435876	.43
48164039	50181181	.58
48164039	49633320	.94
48164039	48540533	.47
48164039	48321610	.70
48164039	50968674	.71
48164039	51084724	.83
48164039	48098288	.70
48164039	51083943	.66
48164039	50831686	.51
48164039	49039457	.71
48164039	48376554	.64
48164039	48230917	.64
48164039	48350506	.70
48164039	49013811	.77
48164039	49970970	.57
48164039	49699411	.68
48164039	48368818	.64
48164039	49123932	.63
48164039	49831485	.62
48164039	49522542	.70
48164039	50229130	.69
48164039	50607264	.55
48164039	48541270	.51
48164039	48731933	.71
48164039	48900860	.54
48164039	49552258	.64
48164039	48298361	.61
48164039	50190337	.77
48164039	48268074	.94
48164039	50780419	.44
48164039	50843655	.63
48164039	48058827	.70
48164039	49415958	.54
48164039	50694913	.85
48164039	48128847	.62
48164039	50292479	.66
48164039	50962572	.54
48164039	48250528	.70
48164039	50845983	.65
48164039	49787673	.70
48164039	48276404	.77
48164039	50209119	.69
48164039	50967309	.58
48164039	50188560	.71
48164039	48283679	.63
48164039	50268300	.57
48164039	51363693	.70
48164039	50233046	.64
48164039	48748066	.94
48164039	48216330	.70
48164039	50519121	.70
48164039	50313296	.64
48164039	50508334	.52
48164039	50280975	.62
48164039	48705555	.71
48164039	50006888	.63
48164039	48797135	.75
48164039	49643536	.54
48164039	50448981	.74
48164039	49526681	.65
48164039	49802163	.70
48164039	50134205	.88
48164039	51490317	.21
48164039	48991372	.53
48164039	48947314	.63
48164039	49071267	.69
48164039	50798592	.72
